Arena,Location,City,State,Team(s),Capacity,Opened
State Farm Arena,"Atlanta, Georgia",Atlanta, Georgia,Atlanta Hawks,18118,1999
TD Garden,"Boston, Massachusetts",Boston, Massachusetts,Boston Celtics,19156,1995
Barclays Center,"Brooklyn, New York",Brooklyn, New York,Brooklyn Nets,17732,2012
Spectrum Center,"Charlotte, North Carolina",Charlotte, North Carolina,Charlotte Hornets,19077,2005
United Center,"Chicago, Illinois",Chicago, Illinois,Chicago Bulls,20917,1994
Rocket Mortgage FieldHouse,"Cleveland, Ohio",Cleveland, Ohio,Cleveland Cavaliers,19432,1994
American Airlines Center,"Dallas, Texas",Dallas, Texas,Dallas Mavericks,19200,2001
Ball Arena,"Denver, Colorado",Denver, Colorado,Denver Nuggets,19520,1999
Little Caesars Arena,"Detroit, Michigan",Detroit, Michigan,Detroit Pistons,20332,2017
Toyota Center,"Houston, Texas",Houston, Texas,Houston Rockets,18055,2003
Gainbridge Fieldhouse,"Indianapolis, Indiana",Indianapolis, Indiana,Indiana Pacers,17923,1999
Crypto.com Arena,"Los Angeles, California",Los Angeles, California,Los Angeles Clippers,19068,1999
FedExForum,"Memphis, Tennessee",Memphis, Tennessee,Memphis Grizzlies,17794,2004
FTX Arena,"Miami, Florida",Miami, Florida,Miami Heat,19600,1999
Fiserv Forum,"Milwaukee, Wisconsin",Milwaukee, Wisconsin,Milwaukee Bucks,17500,2018
Target Center,"Minneapolis, Minnesota",Minneapolis, Minnesota,Minnesota Timberwolves,18978,1990
Smoothie King Center,"New Orleans, Louisiana",New Orleans, Louisiana,New Orleans Pelicans,16867,1999
Madison Square Garden,"New York City, New York",New York City, New York,New York Knicks,19812,1968[a]
Paycom Center,"Oklahoma City, Oklahoma",Oklahoma City, Oklahoma,Oklahoma City Thunder,18203,2002
Amway Center,"Orlando, Florida",Orlando, Florida,Orlando Magic,18846,2010
Wells Fargo Center,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania,Philadelphia 76ers,20478,1996
Footprint Center,"Phoenix, Arizona",Phoenix, Arizona,Phoenix Suns,18055,1992
Moda Center,"Portland, Oregon",Portland, Oregon,Portland Trail Blazers,19441,1995
Golden 1 Center,"Sacramento, California",Sacramento, California,Sacramento Kings,17583,2016
Vivint Arena,"Salt Lake City, Utah",Salt Lake City, Utah,Utah Jazz,18306,1991
AT&T Center,"San Antonio, Texas",San Antonio, Texas,San Antonio Spurs,18418,2002
Chase Center,"San Francisco, California",San Francisco, California,Golden State Warriors,18064,2019
Scotiabank Arena,"Toronto, Ontario",Toronto, Ontario,Toronto Raptors,19800,1999
Capital One Arena,"Washington, D.C.",Washington, D.C.,Washington Wizards,20356,1997
